jahr,wohnungen,wohnflaeche,gebaeude,nutzflaeche
2000,186,17347,19,20400
2001,261,24578,19,31544
2002,222,17896,10,13431
2003,86,9489,16,33407
2004,133,13699,8,48492
2005,154,17547,19,27493
2006,353,37386,14,8508
2007,322,21941,7,28593
2008,115,12439,11,31749
2009,257,20688,16,19074
2010,218,20164,17,15978
2011,327,27579,15,28473
2012,315,27852,10,15226
2013,555,46396,16,14349
2014,387,34915,15,17962
2015,496,35031,16,30653
2016,286,15962,9,20854
2017,244,22374,14,35909
2018,277,20677,9,21752
2019,182,16088,8,9974
2020,243,24955,8,18484
2021,301,26114,9,15334
2022,324,26605,6,13099
2023,255,15882,6,20124
2024,64,5995,4,7582
