jahr,insgesamt,landwirtschaft,wohnbau,verkehr,industrie,sport,taegermoos
2015,54.108895,35.818675,6.442894,4.369524,2.168139,2.408826,1.549516
2016,54.108895,35.818675,6.45,4.369524,2.168139,2.408826,1.549516
2017,54.1,35.8,6.5,4.3,2.2,2.4,1.7
2018,54.1,35.8,6.5,4.3,2.2,2.4,1.7
2019,54.1,35.8,6.5,4.3,2.2,2.4,1.7
2020,54.10778,35.783828,6.543137,4.344583,2.177055,2.399505,1.668343
2021,54.1,35.8,6.6,4.3,2.2,2.4,1.7
2022,54.1,35.8,6.57,4.3,2.2,2.0,1.7
2023,54.107471,35.79863,6.571339999999999,4.330176,2.172748,2.384714,1.652797
2024,54.114726,35.769852,6.573286,4.334784,2.185445,2.385488,1.652797
