jahr,rosgarten,wessenberg,hus,alm,natur
2001,,14722,,,
2002,20800,10777,,34169,205886
2003,11312,11229,,21621,
2004,,,,32531,
2005,19725,12617,12820,,
2006,32951,13013,14330,,240885
2007,37931,12047,14881,34654,226054
2008,40059,14644,15417,32046,226259
2009,34270,13290,16319,31584,201303
2010,41444,12282,13451,34018,214824
2011,44364,14978,12849,32871,184578
2012,38589,11558,13673,26370,172988
2013,43676,13678,15671,32264,160256
2014,100028,19659,17681,40550,174350
2015,66104,12711,25841,23548,161354
2016,50101,14294,18852,27780,168362
2017,53962,14521,17649,26672,142402
2018,44094,11355,14549,26646,130000
2019,64621,16372,14641,21544,380000
2020,23368,9195,4874,13627,200000
2021,24000,7500,4000,19459,
2022,38808,12812,9502,34358,237000
2023,51856,13905,10695,44331,237300
2024,51000,12578,11115,87740,354000
