jahr,grund_schulen,grund,hauptwerkreal_schulen,hauptwerkreal,real_schulen,real,gemeinschaft_schulen,gemeinschaft,gymnasien_schulen,gymnasien,sonderpaedagogisch_schulen,sonderpaedagogisch
2000/01,13,2556,6,908,3,1352,0,0,4,2661,3,102
2001/02,12,2572,6,1010,3,1403,0,0,4,2695,1,97
2002/03,12,2519,6,1017,3,1418,0,0,4,2762,1,100
2003/04,11,2542,6,1039,3,1438,0,0,4,2819,1,103
2004/05,11,2635,6,1008,3,1410,0,0,4,2936,1,101
2005/06,11,2708,6,909,3,1410,0,0,4,3018,1,105
2006/07,11,2690,6,855,3,1400,0,0,4,3114,1,93
2007/08,11,2640,6,765,3,1459,0,0,4,3182,1,91
2008/09,11,2542,6,726,3,1460,0,0,4,3262,1,91
2009/10,11,2479,6,691,3,1469,0,0,4,3387,1,94
2010/11,11,2435,6,715,3,1442,0,0,4,3465,1,91
2011/12,11,2480,6,652,3,1400,0,0,4,3564,1,92
2012/13,11,2512,4,635,3,1354,1,90,4,3372,1,83
2013/14,11,2493,3,573,3,1296,1,245,4,3402,1,87
2014/15,11,2562,3,525,3,1189,1,395,4,3376,2,101
2015/16,11,2513,3,457,3,1067,1,555,4,3183,2,88
2016/17,11,2539,3,447,3,957,1,683,4,3232,2,86
2017/18,11,2621,3,429,3,883,1,821,4,3137,2,99
2018/19,11,2572,2,336,3,925,1,910,4,3077,2,95
2019/20,11,2559,2,302,2,934,1,1022,4,3050,2,101
2020/21,11,2545,1,259,2,850,1,1089,4,3017,2,99
2021/22,11,2499,1,230,2,828,1,1136,4,2974,2,105
2022/23,11,2596,1,198,2,836,2,1236,4,2930,2,100
2023/24,11,2592,1,201,2,790,2,1317,4,2862,2,95
2024/25,11,2611,1,186,2,649,2,1368,4,2860,2,96
