jahr,menge,ew,organisch,phosphor
2001,13.33,163785.0,93.8,96.5
2002,13.66,167072.0,94.6,96.5
2003,10.74,158580.0,95.4,97.9
2004,10.77,168505.0,95.7,97.5
2005,10.69,169843.0,96.5,97.8
2006,11.01,168169.0,96.1,97.5
2007,10.82,159035.0,96.4,97.6
2008,10.73,151880.0,96.7,98.1
2009,10.67,162204.0,96.6,97.9
2010,10.99,161030.0,96.2,98.0
2011,10.11,162204.0,95.6,98.1
2012,11.13,165208.0,95.4,97.7
2013,12.07,163581.0,95.6,97.6
2014,10.95,161652.0,96.4,98.1
2015,10.75,161559.0,96.1,98.0
2016,15.79,166745.0,95.9,97.6
2017,15.1,175571.0,96.4,98.0
2018,13.51,162887.0,96.3,97.6
2019,14.49,158739.0,95.9,97.0
2020,13.85,175131.0,96.5,97.6
2021,17.26,170599.0,95.9,96.7
2022,13.89,174919.0,96.6,97.7
2023,15.63,177319.0,96.6,97.8
2024,17.95,168373.0,96.4,97.1
2024,17.95,168373.0,96.4,97.1
