jahr,no2,o3,pm10_jahresmittel,pm10_maxtagesmittel,ueberschreitungen
2000,27.0,46.0,22.0,63.0,5.0
2001,23.0,48.0,20.0,84.0,4.0
2002,24.0,47.0,23.0,73.0,13.0
2003,22.0,57.0,27.0,113.0,37.0
2004,19.0,51.0,24.0,135.0,21.0
2005,22.0,49.0,24.0,100.0,18.0
2006,21.0,49.0,24.0,144.0,30.0
2007,20.0,45.0,20.0,82.0,11.0
2008,20.0,44.0,20.0,128.0,13.0
2009,21.0,45.0,20.0,,9.0
2010,23.0,47.0,23.0,103.0,14.0
2011,20.0,46.0,20.0,72.0,9.0
2012,22.0,48.0,19.0,80.0,9.0
2013,22.0,48.0,19.0,75.0,11.0
2014,22.0,45.0,16.0,86.0,7.0
2015,23.0,48.0,17.0,66.0,3.0
2016,20.0,48.0,15.0,69.0,1.0
2017,21.0,49.0,15.0,63.0,5.0
2018,20.0,55.0,16.0,63.0,3.0
2019,19.0,52.0,14.0,48.0,0.0
2020,17.0,51.0,12.0,54.0,1.0
2021,16.0,50.0,12.0,73.0,3.0
2022,15.0,52.0,12.0,49.0,0.0
2023,13.0,59.0,11.0,48.0,0.0
2024,14.0,50.0,10.0,87.0,1.0
