jahr,schiffe,personen,fahrzeuge,zweirad
2000,7,5.2,1.7,0.46
2001,7,5.3,1.7,0.48
2002,7,5.2,1.7,0.46
2003,7,5.2,1.7,0.5
2004,,,,
2005,6,5.3,1.67,0.51
2006,6,5.1,1.66,0.45
2007,6,5.1,1.7,0.44
2008,6,4.4,1.5,0.36
2009,6,3.9,1.5,0.35
2010,7,3.9,1.5,0.33
2011,7,4.1,1.5,0.35
2012,6,4.3,1.4,0.35
2013,6,4.3,1.4,0.35
2014,6,4.3,1.6,0.37
2015,6,4.2,1.6,0.39
2016,6,4.2,1.6,0.36
2017,6,4.3,1.5,0.43
2018,6,4.2,1.5,0.47
2019,6,4.2,1.5,0.46
2020,6,3.1,1.1,0.47
2021,6,3.2,1.2,0.46
2022,6,3.7,1.3,0.48
2023,7,3.9,1.3,0.54
2024,7,3.61,1.23,0.48
