jahr,bestand,bdigital,zeitschrifen,zdigital,ausleihe,downloads,besucher
2000,1992193,,,,648185,,
2001,1987400,,4817,877,647033,,
2002,2004145,,9091,3900,600300,,
2003,2027390,,9710,4481,584121,,
2004,2037001,,,,674354,,
2005,2027390,,,,584121,,
2006,2081050,,26371,20483,611382,,
2007,2169547,,31288,25868,594620,,
2008,2156951,68972,21840,17778,604256,,
2009,2138545,74924,36084,31864,583041,,
2010,2218820,59319,26209,22889,500864,,
2011,2278300,83437,54752,50572,374682,1280000,
2012,2231944,99659,44110,41189,391157,2160000,
2013,2202549,126164,45517,42857,399193,3510000,
2014,2203340,134873,49359,46746,376200,3310000,1319480
2015,2232163,146246,53020,50473,319230,2130000,1734506
2016,2295000,175000,54569,52213,316694,2720000,1431650
2017,2239602,199078,48437,46261,279243,3200000,1358002
2018,2186183,197978,49639,47515,288168,3688000,1272566
2019,2176041,213927,64965,62941,268786,4856000,1569834
2020,2215502,241745,64146,62333,143909,5116000,457413
2021,2249556,267411,68632,66811,144026,4367600,367938
2022,2271971,291490,69620,67919,155862,3323390,959495
2023,2267183,284698,62866,61637,125696,1809389,890147
2024,2234904,271819,68891,67798,111267,1736380,1046514
